#node	date	numeric date
NODE_0000000	1789-05-07	1789.347534
NODE_0000001	1837-06-14	1837.450179
NODE_0000002	1905-06-08	1905.433167
NODE_0000003	1951-08-02	1951.585974
NODE_0000004	1982-03-07	1982.179488
NODE_0000005	2008-08-21	2008.638139
KM519951_1	2014-01-01	2014.000000
NODE_0000006	2008-09-02	2008.670935
KP271019_1	2014-08-20	2014.634247
NODE_0000007	2009-01-05	2009.013175
KP271018_1	2014-08-20	2014.634247
NODE_0000008	2013-05-18	2013.377958
KR819004_1	2014-08-16	2014.623288
KP271020_1	2014-08-20	2014.634247
NODE_0000009	2016-03-05	2016.175399
NODE_0000010	2017-08-23	2017.642940
MH733479_1	2018-05-15	2018.368493
NODE_0000011	2017-09-11	2017.694279
MH898466_1	2018-05-11	2018.357534
MH733477_1	2018-05-10	2018.354795
NODE_0000012	2016-10-09	2016.772327
MH733482_1	2018-05-17	2018.373973
NODE_0000013	2016-10-28	2016.823666
NODE_0000014	2017-09-11	2017.695364
MH733480_1	2018-05-15	2018.368493
MH733478_1	2018-05-11	2018.357534
NODE_0000015	2016-11-16	2016.875006
MH733491_1	2018-06-06	2018.428767
NODE_0000016	2017-05-02	2017.333104
NODE_0000017	2017-05-21	2017.384443
MH733483_1	2018-05-18	2018.376712
MH733490_1	2018-05-28	2018.404110
NODE_0000018	2017-08-25	2017.648653
NODE_0000019	2018-04-28	2018.322633
MH733485_1	2018-05-19	2018.379452
MH733481_1	2018-05-17	2018.373973
NODE_0000020	2017-09-13	2017.699992
MH733488_1	2018-05-21	2018.384932
NODE_0000021	2018-01-25	2018.067437
MH733484_1	2018-05-19	2018.379452
NODE_0000022	2018-02-13	2018.118776
MH733487_1	2018-05-19	2018.379452
NODE_0000023	2018-03-04	2018.170116
MH733486_1	2018-05-20	2018.382192
MH733489_1	2018-05-22	2018.387671
NODE_0000024	1993-08-31	1993.665114
NODE_0000025	1995-02-27	1995.157441
KR867676_1	1995-05-04	1995.338356
NODE_0000026	1995-03-19	1995.213171
KU182904_1	1995-05-04	1995.338356
NODE_0000027	1995-04-07	1995.264511
KU182902_1	1995-05-04	1995.338356
NODE_0000028	1995-04-21	1995.301810
KU182903_1	1995-05-04	1995.338356
NODE_0000029	1995-05-04	1995.338356
KU182905_1	1995-05-04	1995.338356
KU182898_1	1995-05-04	1995.338356
NODE_0000030	1994-01-06	1994.016207
NODE_0000031	1994-03-26	1994.230505
KR063672_1	1995-04-01	1995.247945
NODE_0000032	1994-04-13	1994.281845
MH121164_1	1995-01-01	1995.000000
NODE_0000033	1994-04-13	1994.281845
MH121165_1	1995-01-01	1995.000000
NODE_0000034	1994-07-29	1994.574381
NODE_0000035	1994-07-29	1994.574381
KU182908_1	1995-05-04	1995.338356
NODE_0000036	1994-07-29	1994.574381
MG572235_1	1995-05-04	1995.338356
KU978803_1	1995-04-01	1995.247945
NODE_0000037	1995-03-12	1995.193398
KU182901_1	1995-05-04	1995.338356
NODE_0000038	1995-03-25	1995.229637
KU182899_1	1995-05-04	1995.338356
NODE_0000039	1995-04-07	1995.264511
KU182906_1	1995-05-04	1995.338356
NODE_0000040	1995-04-21	1995.301810
KU182900_1	1995-05-04	1995.338356
NODE_0000041	1995-05-04	1995.338356
KU182909_1	1995-05-04	1995.338356
KU182907_1	1995-05-04	1995.338356
NODE_0000042	1994-04-20	1994.299922
NODE_0000043	1994-07-05	1994.508148
KT582109_1	2011-07-24	2011.560274
NODE_0000044	1994-07-05	1994.508148
MK028855_1	1995-01-01	1995.000000
KU321146_1	2012-02-21	2012.140710
NODE_0000045	2011-10-29	2011.825095
KU321099_1	2012-02-21	2012.140710
NODE_0000046	2011-11-16	2011.875898
KU321128_1	2012-02-21	2012.140710
NODE_0000047	2011-12-06	2011.929677
KU321162_1	2012-02-21	2012.140710
NODE_0000048	2011-12-08	2011.936545
NODE_0000049	2012-01-28	2012.074154
KU321157_1	2012-02-21	2012.140710
KU321114_1	2012-02-21	2012.140710
NODE_0000050	2011-12-08	2011.936545
NODE_0000051	2011-12-08	2011.936545
KU321093_1	2012-02-21	2012.140710
KU321164_1	2012-02-21	2012.140710
NODE_0000052	2011-12-28	2011.990714
KU321131_1	2012-02-21	2012.140710
NODE_0000053	2012-01-17	2012.045047
KU321200_1	2012-02-21	2012.140710
NODE_0000054	2012-02-01	2012.086535
KU321151_1	2012-02-21	2012.140710
KU321086_1	2012-02-21	2012.140710
NODE_0000055	1909-03-24	1909.226533
NODE_0000056	1971-07-30	1971.577184
NODE_0000057	1971-08-18	1971.628524
MH121168_1	1976-01-01	1976.000000
KM655246_1	1976-01-01	1976.000000
NODE_0000058	1973-10-21	1973.803396
KR063671_1	1976-10-01	1976.750000
NODE_0000059	1973-11-08	1973.854736
KU978802_1	1976-10-01	1976.750000
NODE_0000060	1974-05-24	1974.392704
MK114118_1	--	--
MH121166_1	1976-01-01	1976.000000
NODE_0000061	1932-10-08	1932.769943
MK088515_1	2017-05-01	2017.330137
NODE_0000062	--	--
MK007340_1	--	--
NODE_0000063	--	--
NODE_0000064	--	--
NODE_0000065	--	--
MK007329_1	--	--
MK088510_1	--	--
NODE_0000066	--	--
NODE_0000067	--	--
MK163655_1	--	--
MK163664_1	--	--
NODE_0000068	--	--
NODE_0000069	--	--
MK163673_1	--	--
NODE_0000070	--	--
MK163661_1	--	--
NODE_0000071	--	--
MK163665_1	--	--
MK163668_1	--	--
NODE_0000072	--	--
MK163667_1	--	--
NODE_0000073	--	--
NODE_0000074	--	--
MK163671_1	--	--
MK163666_1	--	--
NODE_0000075	--	--
MK163672_1	--	--
NODE_0000076	--	--
MK163670_1	--	--
NODE_0000077	--	--
MK163669_1	--	--
NODE_0000078	--	--
MK163675_1	--	--
MK163674_1	--	--
NODE_0000079	--	--
NODE_0000080	--	--
MK163647_1	--	--
MK007339_1	--	--
NODE_0000081	--	--
MK163649_1	--	--
NODE_0000082	--	--
MK007337_1	--	--
NODE_0000083	--	--
NODE_0000084	--	--
MK163648_1	--	--
NODE_0000085	--	--
MK731992_1	--	--
NODE_0000086	--	--
MK731991_1	--	--
MK163659_1	--	--
NODE_0000087	--	--
NODE_0000088	--	--
MK731990_1	--	--
NODE_0000089	--	--
MK007341_1	--	--
NODE_0000090	--	--
MK007344_1	--	--
NODE_0000091	--	--
MK163656_1	--	--
NODE_0000092	--	--
MK163654_1	--	--
NODE_0000093	--	--
MK163644_1	--	--
NODE_0000094	--	--
MK007332_1	--	--
NODE_0000095	--	--
MK731985_1	--	--
NODE_0000096	--	--
MK007336_1	--	--
NODE_0000097	--	--
NODE_0000098	--	--
MK731984_1	--	--
MK163651_1	--	--
NODE_0000099	--	--
MK007338_1	--	--
NODE_0000100	--	--
MK731987_1	--	--
MK163657_1	--	--
NODE_0000101	--	--
MK731988_1	--	--
NODE_0000102	--	--
MK007330_1	--	--
NODE_0000103	--	--
NODE_0000104	--	--
MK731994_1	--	--
NODE_0000105	--	--
MK163646_1	--	--
NODE_0000106	--	--
NODE_0000107	--	--
MK163653_1	--	--
MK163652_1	--	--
NODE_0000108	--	--
MK731993_1	--	--
MK163660_1	--	--
NODE_0000109	--	--
NODE_0000110	--	--
MK163645_1	--	--
MK163663_1	--	--
NODE_0000111	--	--
MK007334_1	--	--
NODE_0000112	--	--
NODE_0000113	--	--
MK731986_1	--	--
MK007335_1	--	--
NODE_0000114	--	--
NODE_0000115	--	--
MK731989_1	--	--
MK007331_1	--	--
NODE_0000116	--	--
MK007342_1	--	--
NODE_0000117	--	--
MK163662_1	--	--
NODE_0000118	--	--
MK007343_1	--	--
NODE_0000119	--	--
MK163650_1	--	--
NODE_0000120	--	--
MK007333_1	--	--
MK163658_1	--	--
NODE_0000121	1996-04-09	1996.270862
KY471125_1	--	--
NODE_0000122	1996-12-10	1996.940687
NODE_0000123	1998-05-15	1998.367575
KY785940_1	2001-01-01	2001.000000
KY785949_1	2001-01-01	2001.000000
NODE_0000124	1996-12-29	1996.992026
KY786026_1	2001-01-01	2001.000000
NODE_0000125	1997-01-16	1997.042615
NODE_0000126	1999-08-13	1999.616362
KY471095_1	2015-01-01	2015.000000
KY785965_1	2001-01-01	2001.000000
NODE_0000127	1997-01-18	1997.047007
NODE_0000128	1999-04-24	1999.311126
NODE_0000129	2000-12-13	2000.948661
KY785945_1	2001-01-01	2001.000000
KY471092_1	2015-01-01	2015.000000
NODE_0000130	1999-05-13	1999.362466
KY785970_1	2001-01-01	2001.000000
KY785969_1	2001-01-01	2001.000000
NODE_0000131	1997-02-04	1997.095743
NODE_0000132	2000-01-14	2000.036474
NODE_0000133	2000-02-02	2000.087813
KY785939_1	2001-01-01	2001.000000
NODE_0000134	2000-12-13	2000.948661
KY786018_1	2001-01-01	2001.000000
